,phrase,target
0,real estate company posted net loss x a million x a per share compared net profit x a million x a per share corresponding quarter,negative
1,eu commission said earlier fined thyssenkrupp united technologies corp otis schindler ag kone oyj total mln eur alleged cartel activity lift market going back twelve years,negative
2,cargo traffic fell year on year tonnes september,negative
3,finnish media group talentum issued profit warning,negative
4,net profit fell almost half million million end,negative
5,cash flow operations january december negative eur mn compared eur mn corresponding period,negative
6,diluted earnings per share eps stood eur versus eur,negative
7,production levels agreed producers long time ago fall consumption lead losses,negative
8,market share decreased route helsinki finland tallinn estonia percentage points,negative
9,finnish developer manufacturer mobile phone chargers salcomp plc omx helsinki sal v wednesday november lowered full year net sales estimate,negative
10,adpnews may finnish cutlery hand tools maker fiskars oyj abp hel fisas said today net profit declined eur million usd first quarter eur million correspon,negative
11,operating profit totaled eur mn eur mn corresponding period,negative
12,profit period totalled eur mn eur mn third quarter,negative
13,january november group sales totalled eur mn drop period,negative
14,operating profit excluding non recurring items eur million compared eur million,negative
15,scanfil also issued profit warning,negative
16,net sales period expected fall well last year result non recurring items expected red,negative
17,eur h august finnish media group ilkka yhtyma oyj hel ilk s said today net profit fell year eur first half,negative
18,finnish bank land reports operating profit fell eur mn third quarter eur mn third quarter,negative
19,earnings per share eps decreased eur eur,negative
20,implementation programs negative impacts earnings mr meiklejohn said,negative
21,operating profit fell eur mn eur mn,negative
22,finnish scanfil systems supplier contract manufacturer communications sector electronics industry reports net sales totalled eur mn first half eur mn first half,negative
23,operating loss non recurring items eur mn compared profit eur mn,negative
24,finnish laboratory liquid handling diagnostic test systems developer biohit oyj omx helsinki biobv issued tuesday june profit warning financial year,negative
25,small firms suffering moment likely money trouble added,negative
26,yit baltic sales first three quarters totaled million euros representing drop percent year year,negative
27,profit period totalled eur mn eur mn corresponding period,negative
28,managing director comments net sales first quarter notably lower year especially finland russia baltic countries,negative
29,sales finland decreased january sales outside finland dropped,negative
30,profit taxes eur mn eur mn,negative
31,baltimore police fire pension billion lost million madoff ponzi scheme,negative
32,finnish scanfil contract manufacturer systems supplier communication industrial electronics reports net sales eur mn first half eur mn year earlier,negative
33,finnish solutions provider affecto oyj hel afe v said today slipped net loss eur usd second quarter profit eur corresponding period year earlier,negative
34,finland hobby hall sales decreased international sales fell,negative
35,finnish automation solutions developer cencorp corporation omx helsinki cnc v issued thursday september profit warning third quarter,negative
36,baltic states company reports net sales eur mn eur mn operative ebit eur mn eur mn,negative
37,seven month sales ragutis controlled finnish brewery olvi declined percent million liters company held percent market,negative
38,operating profit eur mn eur mn,negative
39,operating profit decreased nearly eur mn however,negative
40,finnish textiles clothing group marimekko oyj posted net profit mln euro mln compared mln euro mln,negative
41,yit lodged counter claims neste oil totaling eur m primarily based work carried contract additional costs incurred due prolongation project,negative
42,demand fireplace products lower expected especially germany,negative
43,move triggered weak demand forestry equipment uncertain market situation,negative
44,situation coated magazine printing paper continue weak,negative
45,finnish national carrier said net loss april june euro million net profit euro million year earlier,negative
46,september alone market declined percent year on year million liters,negative
47,finnish electronics contract manufacturer scanfil reports net sales eur mn second quarter eur mn year earlier,negative
48,building home improvement trade sales decreased totalling eur mn,negative
49,steelmaker said drop profit explained continuing economic uncertainty mixed current drought bank lending resulting decline demand products customers find increasingly difficult fund operations,negative
50,operating loss totalled eur mn profit eur mn,negative
51,net sales kyro main business area glaston technologies manufacturer glass processing machines decreased eur mn eur mn january september,negative
52,january june diluted loss per share stood eur versus eur first half,negative
53,adp news feb finnish retailer kesko oyj hel kesbv said today total sales excluding value added tax vat stood eur million usd january year on ye,negative
54,loss financial items totalled eur mn compared profit eur mn corresponding period,negative
55,operating profit totalled eur mn eur mn year earlier,negative
56,adp news feb finnish broadband data communication systems solutions company teleste oyj hel tlt v said today net profit decreased eur million usd eur million,negative
57,profit taxes decreased eur mn first nine months compared eur mn year earlier,negative
58,sanoma news advertising sales decreased year,negative
59,changes market situation tougher price competition substantially reduced demand bread packaging manufactured kauhava plant according company,negative
60,group order portfolio decreased eur mn eur mn,negative
61,orion net profit third quarter decreased mln euro mln mln euro mln year earlier,negative
62,net sales decreased eur mn eur mn corresponding period,negative
63,copper lead nickel also dropped hbos hbos plummeted pence saying year,negative
64,net sales decreased eur million eur million,negative
65,operating loss totaled eur mn compared profit eur mn corresponding period,negative
66,earnings per share eps amounted eur eur,negative
67,operating loss totaled eur mn compared profit eur mn,negative
68,profitability ebit compared q,negative
69,strike finnair estimates incur net loss eur m eur per day,negative
70,however growth margin slowed due financial crisis,negative
71,shares royal sun alliance continued slide back month high p last month potential suitor ruled takeover bid,negative
72,exports goods fell imports,negative
